seed,R_core,t_Ain,t_B,t_Aout,sAin,sigmaR,-log(bg),SSE
1.000000000000000000e+01,1.765625000000000000e+02,1.043750000000000000e+02,6.984375000000000000e+01,9.242187500000000000e+01,3.789062500000000000e-01,1.652343750000000167e-01,3.437500000000000000e+00,4.817710620830265890e-03
1.100000000000000000e+01,1.203125000000000000e+02,1.043750000000000000e+02,1.256250000000000000e+02,4.992187500000000000e+01,1.027343750000000028e-01,2.496093749999999944e-01,3.226562500000000000e+00,9.783331568183886370e-03
1.270000000000000000e+02,1.578125000000000000e+02,1.269531250000000000e+02,7.117187500000000000e+01,8.179687500000000000e+01,3.925781250000000000e-01,1.828125000000000167e-01,3.367187500000000000e+00,8.810775231059591456e-03
1.310000000000000000e+02,1.828125000000000000e+02,9.773437500000000000e+01,6.984375000000000000e+01,1.163281250000000000e+02,3.843750000000000222e-01,1.617187499999999944e-01,3.414062500000000000e+00,7.125837727389770261e-03
1.370000000000000000e+02,1.515625000000000000e+02,1.349218750000000000e+02,5.789062500000000000e+01,1.123437500000000000e+02,3.761718749999999334e-01,1.968749999999999944e-01,4.000000000000000000e+00,2.296915644290980010e-02
1.390000000000000000e+02,1.031250000000000000e+02,1.853906250000000000e+02,5.789062500000000000e+01,1.043750000000000000e+02,3.624999999999999334e-01,2.953125000000000333e-01,3.789062500000000000e+00,4.246074536856599829e-02
1.400000000000000000e+01,1.796875000000000000e+02,9.773437500000000000e+01,5.523437500000000000e+01,1.242968750000000000e+02,2.640624999999999778e-01,1.546875000000000056e-01,4.656250000000000000e+00,3.830183225663206376e-02
1.500000000000000000e+01,1.484375000000000000e+02,1.335937500000000000e+02,7.117187500000000000e+01,8.179687500000000000e+01,3.871093749999999778e-01,1.968749999999999944e-01,3.390625000000000000e+00,1.244317721430428236e-02
1.700000000000000000e+01,1.187500000000000000e+02,1.455468750000000000e+02,6.054687500000000000e+01,1.269531250000000000e+02,1.464843750000000000e-01,2.496093749999999944e-01,5.382812500000000000e+00,4.148041831565541654e-02
1.800000000000000000e+01,1.515625000000000000e+02,1.203125000000000000e+02,8.445312500000000000e+01,6.984375000000000000e+01,3.296875000000000222e-01,2.250000000000000056e-01,3.273437500000000000e+00,2.067294193356042364e-02
1.000000000000000000e+00,1.406250000000000000e+02,8.578125000000000000e+01,1.269531250000000000e+02,4.195312500000000000e+01,1.109375000000000083e-01,2.250000000000000056e-01,3.250000000000000000e+00,1.166504498284869247e-02
2.100000000000000000e+01,1.906250000000000000e+02,9.507812500000000000e+01,6.851562500000000000e+01,1.163281250000000000e+02,4.445312499999999334e-01,1.546875000000000056e-01,3.417968750000000000e+00,5.202103596413424312e-03
2.000000000000000000e+00,1.890625000000000000e+02,8.179687500000000000e+01,6.585937500000000000e+01,1.136718750000000000e+02,2.585937499999999556e-01,1.582031250000000000e-01,4.000000000000000000e+00,3.447324120187472696e-02
