seed,R_core,t_Ain,t_B,t_Aout,sAin,sigmaR,-log(bg),SSE
3.100000000000000000e+01,1.296875000000000000e+02,1.083593750000000000e+02,1.043750000000000000e+02,7.914062500000000000e+01,1.082031250000000111e-01,2.320312499999999944e-01,3.226562500000000000e+00,4.614374811859690666e-03
3.700000000000000000e+01,1.859375000000000000e+02,9.507812500000000000e+01,7.117187500000000000e+01,1.070312500000000000e+02,4.062500000000000000e-01,1.511718750000000111e-01,3.390625000000000000e+00,3.989596835906068090e-03
3.000000000000000000e+00,1.859375000000000000e+02,7.117187500000000000e+01,7.648437500000000000e+01,1.150000000000000000e+02,1.683593750000000056e-01,1.582031250000000000e-01,3.531250000000000000e+00,9.963428037008571422e-03
4.100000000000000000e+01,1.250000000000000000e+02,1.442187500000000000e+02,7.117187500000000000e+01,1.003906250000000000e+02,2.312499999999999833e-01,2.390625000000000111e-01,3.460937500000000000e+00,1.430214487959044663e-02
4.300000000000000000e+01,1.031250000000000000e+02,1.614843750000000000e+02,7.382812500000000000e+01,1.017187500000000000e+02,1.957031250000000056e-01,2.847656250000000222e-01,3.531250000000000000e+00,1.584709995761750603e-02
4.700000000000000000e+01,1.796875000000000000e+02,5.656250000000000000e+01,1.083593750000000000e+02,7.382812500000000000e+01,1.273437500000000056e-01,1.617187499999999944e-01,3.203125000000000000e+00,3.794067651997992847e-03
4.000000000000000000e+00,1.515625000000000000e+02,7.914062500000000000e+01,1.150000000000000000e+02,6.585937500000000000e+01,1.054687500000000000e-01,1.863281250000000111e-01,3.203125000000000000e+00,5.160691403093044423e-03
5.300000000000000000e+01,6.562500000000000000e+01,1.973437500000000000e+02,6.585937500000000000e+01,1.150000000000000000e+02,1.410156250000000056e-01,4.324218750000000111e-01,3.882812500000000000e+00,3.028236051154794412e-02
5.900000000000000000e+01,1.140625000000000000e+02,1.282812500000000000e+02,1.030468750000000000e+02,7.117187500000000000e+01,1.328125000000000000e-01,2.531249999999999889e-01,3.250000000000000000e+00,7.229258247258049663e-03
5.000000000000000000e+00,1.250000000000000000e+02,1.575000000000000000e+02,7.250000000000000000e+01,7.515625000000000000e+01,3.734374999999999778e-01,2.355468750000000167e-01,3.414062500000000000e+00,2.932248652115332713e-02
6.100000000000000000e+01,7.656250000000000000e+01,1.787500000000000000e+02,8.046875000000000000e+01,1.043750000000000000e+02,1.437499999999999889e-01,4.007812500000000333e-01,3.437500000000000000e+00,1.392226528813636684e-02
6.700000000000000000e+01,1.765625000000000000e+02,1.017187500000000000e+02,7.250000000000000000e+01,1.150000000000000000e+02,3.898437499999999334e-01,1.722656250000000056e-01,3.437500000000000000e+00,1.092996189920400658e-02
6.000000000000000000e+00,2.187500000000000000e+02,5.125000000000000000e+01,8.710937500000000000e+01,1.150000000000000000e+02,4.089843749999999556e-01,1.406250000000000000e-01,3.296875000000000000e+00,1.032760823428185634e-02
7.100000000000000000e+01,9.531250000000000000e+01,1.840625000000000000e+02,5.921875000000000000e+01,1.150000000000000000e+02,2.750000000000000222e-01,3.375000000000000222e-01,3.906250000000000000e+00,4.557419115153866357e-02
7.300000000000000000e+01,1.093750000000000000e+02,1.442187500000000000e+02,7.515625000000000000e+01,1.096875000000000000e+02,1.246093750000000083e-01,2.214843750000000111e-01,3.625000000000000000e+00,2.755770884708768839e-02
7.900000000000000000e+01,1.468750000000000000e+02,1.176562500000000000e+02,8.179687500000000000e+01,9.375000000000000000e+01,2.585937499999999556e-01,1.898437500000000056e-01,3.226562500000000000e+00,1.622481217423431266e-02
7.000000000000000000e+00,2.031250000000000000e+02,6.718750000000000000e+01,8.179687500000000000e+01,9.507812500000000000e+01,3.542968749999999556e-01,1.371093750000000056e-01,3.296875000000000000e+00,3.167166054281452502e-03
8.000000000000000000e+00,1.390625000000000000e+02,1.442187500000000000e+02,6.187500000000000000e+01,1.030468750000000000e+02,3.542968749999999556e-01,2.109375000000000000e-01,3.648437500000000000e+00,1.910133530834410426e-02
9.000000000000000000e+00,8.281250000000000000e+01,1.893750000000000000e+02,6.187500000000000000e+01,1.123437500000000000e+02,2.011718750000000000e-01,3.515625000000000000e-01,4.000000000000000000e+00,3.584320942976373242e-02
