seed,R_core,t_Ain,t_B,t_Aout,sAin,sigmaR,-log(bg),SSE
2.000000000000000000e+00,1.296875000000000000e+02,9.375000000000000000e+01,1.110156250000000000e+02,7.250000000000000000e+01,4.007812499999999778e-01,2.320312499999999944e-01,4.656250000000000000e+00,3.552048849543787412e-02
3.100000000000000000e+01,1.343750000000000000e+02,7.648437500000000000e+01,1.229687500000000000e+02,3.796875000000000000e+01,2.558593750000000000e-01,2.179687500000000167e-01,4.000000000000000000e+00,1.438251666408123935e-02
3.700000000000000000e+01,7.343750000000000000e+01,1.256250000000000000e+02,1.322656250000000000e+02,4.062500000000000000e+01,1.027343750000000028e-01,3.867187500000000000e-01,4.046875000000000000e+00,1.142468454423239792e-02
3.000000000000000000e+00,1.421875000000000000e+02,7.781250000000000000e+01,1.136718750000000000e+02,5.789062500000000000e+01,3.707031250000000222e-01,2.074218750000000056e-01,4.375000000000000000e+00,2.353311961675247713e-02
4.100000000000000000e+01,1.437500000000000000e+02,5.523437500000000000e+01,1.282812500000000000e+02,5.125000000000000000e+01,1.054687500000000000e-01,2.250000000000000056e-01,4.023437500000000000e+00,1.416586767156353260e-02
4.300000000000000000e+01,1.031250000000000000e+02,9.375000000000000000e+01,1.362500000000000000e+02,3.000000000000000000e+01,1.054687500000000000e-01,2.988281250000000000e-01,4.046875000000000000e+00,1.025518446062153102e-02
4.700000000000000000e+01,7.500000000000000000e+01,1.242968750000000000e+02,1.322656250000000000e+02,3.265625000000000000e+01,1.054687500000000000e-01,3.972656250000000111e-01,4.023437500000000000e+00,1.093822066625687976e-02
4.000000000000000000e+00,8.750000000000000000e+01,1.123437500000000000e+02,1.335937500000000000e+02,3.132812500000000000e+01,1.000000000000000056e-01,3.585937499999999889e-01,4.023437500000000000e+00,1.074437602568451347e-02
5.300000000000000000e+01,1.671875000000000000e+02,3.398437500000000000e+01,1.309375000000000000e+02,3.132812500000000000e+01,1.437499999999999889e-01,1.722656250000000056e-01,4.046875000000000000e+00,8.466702960245582263e-03
5.900000000000000000e+01,1.234375000000000000e+02,1.017187500000000000e+02,1.123437500000000000e+02,4.062500000000000000e+01,4.363281249999999556e-01,2.214843750000000111e-01,4.281250000000000000e+00,3.422849925538970495e-02
5.000000000000000000e+00,9.062500000000000000e+01,1.070312500000000000e+02,1.349218750000000000e+02,3.000000000000000000e+01,1.027343750000000028e-01,3.269531250000000111e-01,4.000000000000000000e+00,1.061439276597290170e-02
6.100000000000000000e+01,7.968750000000000000e+01,1.415625000000000000e+02,1.136718750000000000e+02,3.929687500000000000e+01,3.761718749999999334e-01,3.621093750000000111e-01,4.117187500000000000e+00,5.215525627740929399e-02
6.700000000000000000e+01,1.593750000000000000e+02,4.328125000000000000e+01,1.309375000000000000e+02,3.265625000000000000e+01,1.902343750000000111e-01,1.863281250000000111e-01,3.882812500000000000e+00,8.106829946525843239e-03
6.000000000000000000e+00,1.109375000000000000e+02,1.070312500000000000e+02,1.176562500000000000e+02,3.132812500000000000e+01,3.406249999999999556e-01,2.601562500000000333e-01,4.187500000000000000e+00,2.764676407881510450e-02
7.100000000000000000e+01,1.031250000000000000e+02,9.375000000000000000e+01,1.362500000000000000e+02,3.132812500000000000e+01,1.000000000000000056e-01,2.917968750000000111e-01,3.859375000000000000e+00,8.601599550023281832e-03
7.300000000000000000e+01,1.296875000000000000e+02,7.781250000000000000e+01,1.242968750000000000e+02,5.390625000000000000e+01,1.710937499999999889e-01,2.320312499999999944e-01,4.093750000000000000e+00,1.613518498154192446e-02
7.900000000000000000e+01,1.593750000000000000e+02,5.125000000000000000e+01,1.229687500000000000e+02,4.859375000000000000e+01,2.722656249999999556e-01,1.792968749999999944e-01,4.117187500000000000e+00,1.173664138940594230e-02
7.000000000000000000e+00,1.781250000000000000e+02,3.664062500000000000e+01,1.242968750000000000e+02,3.265625000000000000e+01,3.898437499999999334e-01,1.687500000000000111e-01,4.000000000000000000e+00,8.728761739783005499e-03
8.300000000000000000e+01,1.078125000000000000e+02,1.150000000000000000e+02,1.163281250000000000e+02,3.664062500000000000e+01,4.171874999999999334e-01,2.847656250000000222e-01,3.906250000000000000e+00,3.890029837927937162e-02
8.000000000000000000e+00,1.171875000000000000e+02,9.640625000000000000e+01,1.176562500000000000e+02,5.789062500000000000e+01,2.148437500000000000e-01,2.496093749999999944e-01,4.398437500000000000e+00,2.537840551309596474e-02
9.000000000000000000e+00,1.000000000000000000e+02,9.640625000000000000e+01,1.362500000000000000e+02,3.000000000000000000e+01,1.082031250000000111e-01,3.023437500000000222e-01,3.976562500000000000e+00,1.036904261019597553e-02
