seed,R_core,t_Ain,t_B,t_Aout,sAin,sigmaR,-log(bg),SSE
1.030000000000000000e+02,1.765625000000000000e+02,3.664062500000000000e+01,1.216406250000000000e+02,5.656250000000000000e+01,3.488281249999999889e-01,1.687500000000000111e-01,4.023437500000000000e+00,1.016053693131942735e-02
1.070000000000000000e+02,1.593750000000000000e+02,4.726562500000000000e+01,1.269531250000000000e+02,4.328125000000000000e+01,2.257812499999999889e-01,1.933593750000000000e-01,4.023437500000000000e+00,1.088253785915823529e-02
1.090000000000000000e+02,1.218750000000000000e+02,8.312500000000000000e+01,1.269531250000000000e+02,3.531250000000000000e+01,1.628906250000000111e-01,2.566406250000000111e-01,4.046875000000000000e+00,1.417666036782767348e-02
1.000000000000000000e+01,1.765625000000000000e+02,3.531250000000000000e+01,1.256250000000000000e+02,3.132812500000000000e+01,3.460937499999999778e-01,1.652343750000000167e-01,3.976562500000000000e+00,6.861597672126572810e-03
1.130000000000000000e+02,1.375000000000000000e+02,8.578125000000000000e+01,1.136718750000000000e+02,4.992187500000000000e+01,4.308593749999999334e-01,2.250000000000000056e-01,4.093750000000000000e+00,2.676016400134744594e-02
1.100000000000000000e+01,1.109375000000000000e+02,9.507812500000000000e+01,1.269531250000000000e+02,4.195312500000000000e+01,1.464843750000000000e-01,2.636718750000000000e-01,4.023437500000000000e+00,1.360533702270069409e-02
1.200000000000000000e+01,1.593750000000000000e+02,4.992187500000000000e+01,1.256250000000000000e+02,3.265625000000000000e+01,2.859374999999999556e-01,1.968749999999999944e-01,4.000000000000000000e+00,1.147722626365314628e-02
1.400000000000000000e+01,7.812500000000000000e+01,1.428906250000000000e+02,1.136718750000000000e+02,4.726562500000000000e+01,3.050781249999999778e-01,3.691406250000000000e-01,4.351562500000000000e+00,4.474088782676802906e-02
1.500000000000000000e+01,1.000000000000000000e+02,1.150000000000000000e+02,1.189843750000000000e+02,5.257812500000000000e+01,2.832031250000000000e-01,3.058593749999999889e-01,4.328125000000000000e+00,2.859805378789970556e-02
1.600000000000000000e+01,1.781250000000000000e+02,3.929687500000000000e+01,1.189843750000000000e+02,5.125000000000000000e+01,4.171874999999999334e-01,1.617187499999999944e-01,4.070312500000000000e+00,9.880564803676430627e-03
1.800000000000000000e+01,1.031250000000000000e+02,9.773437500000000000e+01,1.322656250000000000e+02,3.398437500000000000e+01,1.000000000000000056e-01,2.777343750000000333e-01,4.000000000000000000e+00,8.652188670725001474e-03
1.900000000000000000e+01,1.687500000000000000e+02,3.398437500000000000e+01,1.269531250000000000e+02,5.523437500000000000e+01,1.382812499999999944e-01,1.722656250000000056e-01,4.000000000000000000e+00,1.149039924516653127e-02
1.000000000000000000e+00,1.437500000000000000e+02,5.789062500000000000e+01,1.296093750000000000e+02,3.929687500000000000e+01,1.246093750000000083e-01,2.039062500000000111e-01,3.976562500000000000e+00,8.101648300417589599e-03
