seed,R_core,t_Ain,t_B,t_Aout,sAin,sigmaR,-log(bg),SSE
1.900000000000000000e+01,1.312500000000000000e+02,8.710937500000000000e+01,6.054687500000000000e+01,1.203125000000000000e+02,1.847656249999999889e-01,1.230468750000000000e-01,3.859375000000000000e+00,4.588935528854856671e-02
1.000000000000000000e+00,8.593750000000000000e+01,1.110156250000000000e+02,8.179687500000000000e+01,1.150000000000000000e+02,1.054687500000000000e-01,2.250000000000000056e-01,3.390625000000000000e+00,1.376455193183359800e-02
2.000000000000000000e+00,1.250000000000000000e+02,1.043750000000000000e+02,6.187500000000000000e+01,1.136718750000000000e+02,2.968750000000000000e-01,1.546875000000000056e-01,4.000000000000000000e+00,4.289102657330828849e-02
3.100000000000000000e+01,1.156250000000000000e+02,1.203125000000000000e+02,5.789062500000000000e+01,1.110156250000000000e+02,3.597656249999999778e-01,1.546875000000000056e-01,3.648437500000000000e+00,2.255007049337894726e-02
3.000000000000000000e+00,1.375000000000000000e+02,6.718750000000000000e+01,7.515625000000000000e+01,1.203125000000000000e+02,1.492187500000000111e-01,1.300781250000000167e-01,3.484375000000000000e+00,2.321070842303624496e-02
4.300000000000000000e+01,6.718750000000000000e+01,1.256250000000000000e+02,9.375000000000000000e+01,9.109375000000000000e+01,1.218750000000000111e-01,2.671875000000000222e-01,3.226562500000000000e+00,1.351655340469385194e-02
4.700000000000000000e+01,1.296875000000000000e+02,8.843750000000000000e+01,8.312500000000000000e+01,8.578125000000000000e+01,3.050781249999999778e-01,1.441406249999999944e-01,3.156250000000000000e+00,8.546853100941614531e-03
4.000000000000000000e+00,7.031250000000000000e+01,1.203125000000000000e+02,1.030468750000000000e+02,7.117187500000000000e+01,1.410156250000000056e-01,2.496093749999999944e-01,3.132812500000000000e+00,3.316664416532087017e-02
5.900000000000000000e+01,9.062500000000000000e+01,1.189843750000000000e+02,7.515625000000000000e+01,1.070312500000000000e+02,1.765625000000000111e-01,1.933593750000000000e-01,3.390625000000000000e+00,1.236501317875362410e-02
5.000000000000000000e+00,1.265625000000000000e+02,9.375000000000000000e+01,8.445312500000000000e+01,8.046875000000000000e+01,3.296875000000000222e-01,1.371093750000000056e-01,3.132812500000000000e+00,1.111156545177307414e-02
6.700000000000000000e+01,1.296875000000000000e+02,1.003906250000000000e+02,7.250000000000000000e+01,1.150000000000000000e+02,3.734374999999999778e-01,1.300781250000000167e-01,3.250000000000000000e+00,1.563797527779337351e-02
6.000000000000000000e+00,1.453125000000000000e+02,5.523437500000000000e+01,9.640625000000000000e+01,8.843750000000000000e+01,2.203124999999999944e-01,1.230468750000000000e-01,3.132812500000000000e+00,5.129471797677604555e-03
7.100000000000000000e+01,9.375000000000000000e+01,1.575000000000000000e+02,4.460937500000000000e+01,1.136718750000000000e+02,4.472656250000000000e-01,1.933593750000000000e-01,5.171875000000000000e+00,6.424692940674582575e-02
7.300000000000000000e+01,8.750000000000000000e+01,1.256250000000000000e+02,7.648437500000000000e+01,1.030468750000000000e+02,2.230468749999999778e-01,1.933593750000000000e-01,3.226562500000000000e+00,1.933861942394633771e-02
7.900000000000000000e+01,6.562500000000000000e+01,1.575000000000000000e+02,5.921875000000000000e+01,1.216406250000000000e+02,2.312499999999999833e-01,2.777343750000000333e-01,3.812500000000000000e+00,4.018070153785719550e-02
7.000000000000000000e+00,1.796875000000000000e+02,3.531250000000000000e+01,1.070312500000000000e+02,6.718750000000000000e+01,4.390625000000000222e-01,1.019531250000000056e-01,3.109375000000000000e+00,5.531801975885206231e-03
8.300000000000000000e+01,1.593750000000000000e+02,5.921875000000000000e+01,9.242187500000000000e+01,7.781250000000000000e+01,3.734374999999999778e-01,1.089843750000000083e-01,3.132812500000000000e+00,4.510108782805846706e-03
8.900000000000000000e+01,1.093750000000000000e+02,8.179687500000000000e+01,9.375000000000000000e+01,1.003906250000000000e+02,1.191406250000000000e-01,1.687500000000000111e-01,3.203125000000000000e+00,5.234879901925861695e-03
8.000000000000000000e+00,8.906250000000000000e+01,1.415625000000000000e+02,6.320312500000000000e+01,1.017187500000000000e+02,3.160156250000000222e-01,1.898437500000000056e-01,3.484375000000000000e+00,2.717307635068403129e-02
9.700000000000000000e+01,6.562500000000000000e+01,1.628125000000000000e+02,6.054687500000000000e+01,1.083593750000000000e+02,2.804687499999999889e-01,2.707031249999999889e-01,3.578125000000000000e+00,3.975663576044452530e-02
9.000000000000000000e+00,9.218750000000000000e+01,9.375000000000000000e+01,9.906250000000000000e+01,9.375000000000000000e+01,1.054687500000000000e-01,2.003906250000000167e-01,3.226562500000000000e+00,1.018526261926336503e-02
