seed,R_core,t_Ain,t_B,t_Aout,sAin,sigmaR,-log(bg),SSE
1.010000000000000000e+02,9.062500000000000000e+01,5.390625000000000000e+01,1.335937500000000000e+02,5.523437500000000000e+01,1.054687500000000000e-01,2.144531249999999944e-01,4.398437500000000000e+00,2.095519338351480715e-02
1.000000000000000000e+01,8.437500000000000000e+01,8.046875000000000000e+01,1.203125000000000000e+02,5.789062500000000000e+01,2.777343749999999778e-01,2.285156250000000000e-01,4.093750000000000000e+00,3.379487617585356929e-02
1.100000000000000000e+01,1.109375000000000000e+02,3.265625000000000000e+01,1.375781250000000000e+02,5.125000000000000000e+01,1.437499999999999889e-01,1.792968749999999944e-01,3.976562500000000000e+00,2.270682231168069665e-02
1.200000000000000000e+01,8.750000000000000000e+01,7.250000000000000000e+01,1.256250000000000000e+02,5.390625000000000000e+01,2.175781250000000111e-01,2.390625000000000111e-01,4.070312500000000000e+00,3.720417092295200817e-02
1.300000000000000000e+01,1.140625000000000000e+02,5.257812500000000000e+01,1.203125000000000000e+02,4.992187500000000000e+01,2.996093749999999556e-01,1.828125000000000167e-01,4.375000000000000000e+00,2.587289384345621557e-02
1.400000000000000000e+01,1.156250000000000000e+02,4.593750000000000000e+01,1.216406250000000000e+02,5.789062500000000000e+01,2.367187500000000056e-01,1.687500000000000111e-01,5.453125000000000000e+00,2.252258024801668396e-02
1.500000000000000000e+01,1.109375000000000000e+02,5.390625000000000000e+01,1.242968750000000000e+02,4.328125000000000000e+01,3.242187500000000000e-01,1.582031250000000000e-01,3.976562500000000000e+00,2.971217118319853523e-02
1.600000000000000000e+01,7.343750000000000000e+01,7.117187500000000000e+01,1.362500000000000000e+02,5.125000000000000000e+01,1.164062500000000028e-01,2.601562500000000333e-01,4.023437500000000000e+00,2.710021500878653442e-02
1.000000000000000000e+00,6.875000000000000000e+01,7.648437500000000000e+01,1.335937500000000000e+02,5.656250000000000000e+01,1.136718750000000056e-01,2.777343750000000333e-01,4.117187500000000000e+00,2.444286358914384005e-02
2.000000000000000000e+00,6.875000000000000000e+01,7.914062500000000000e+01,1.296093750000000000e+02,5.656250000000000000e+01,1.164062500000000028e-01,2.777343750000000333e-01,4.257812500000000000e+00,2.844819846841091862e-02
3.100000000000000000e+01,7.031250000000000000e+01,9.242187500000000000e+01,1.136718750000000000e+02,7.515625000000000000e+01,1.847656249999999889e-01,2.601562500000000333e-01,5.406250000000000000e+00,5.606441195999303101e-02
3.700000000000000000e+01,7.968750000000000000e+01,7.250000000000000000e+01,1.269531250000000000e+02,5.523437500000000000e+01,1.410156250000000056e-01,2.460937500000000000e-01,4.375000000000000000e+00,2.703144369874312114e-02
3.000000000000000000e+00,1.031250000000000000e+02,6.984375000000000000e+01,1.163281250000000000e+02,5.523437500000000000e+01,3.624999999999999334e-01,2.003906250000000167e-01,4.070312500000000000e+00,3.292909622746020837e-02
4.100000000000000000e+01,1.171875000000000000e+02,5.125000000000000000e+01,1.189843750000000000e+02,5.523437500000000000e+01,3.378906250000000000e-01,1.722656250000000056e-01,4.140625000000000000e+00,1.770357971768398569e-02
4.300000000000000000e+01,1.312500000000000000e+02,4.726562500000000000e+01,1.136718750000000000e+02,6.054687500000000000e+01,4.445312499999999334e-01,1.511718750000000111e-01,4.351562500000000000e+00,1.674322422898570639e-02
4.700000000000000000e+01,7.187500000000000000e+01,9.242187500000000000e+01,1.216406250000000000e+02,4.992187500000000000e+01,2.750000000000000222e-01,2.742187500000000111e-01,4.117187500000000000e+00,5.065565552369600405e-02
4.000000000000000000e+00,1.343750000000000000e+02,4.328125000000000000e+01,1.136718750000000000e+02,7.382812500000000000e+01,4.308593749999999334e-01,1.511718750000000111e-01,4.210937500000000000e+00,1.991173843184228243e-02
5.300000000000000000e+01,7.500000000000000000e+01,1.123437500000000000e+02,1.030468750000000000e+02,6.453125000000000000e+01,4.472656250000000000e-01,2.847656250000000222e-01,5.171875000000000000e+00,7.189665925359990661e-02
5.900000000000000000e+01,1.296875000000000000e+02,4.062500000000000000e+01,1.189843750000000000e+02,4.460937500000000000e+01,3.542968749999999556e-01,1.406250000000000000e-01,4.164062500000000000e+00,1.967109680305233893e-02
5.000000000000000000e+00,1.156250000000000000e+02,3.132812500000000000e+01,1.349218750000000000e+02,4.726562500000000000e+01,1.464843750000000000e-01,1.652343750000000167e-01,4.164062500000000000e+00,1.896003404259867520e-02
6.700000000000000000e+01,9.843750000000000000e+01,6.851562500000000000e+01,1.136718750000000000e+02,7.515625000000000000e+01,2.585937499999999556e-01,2.250000000000000056e-01,5.031250000000000000e+00,4.052374193713374761e-02
6.000000000000000000e+00,1.171875000000000000e+02,3.929687500000000000e+01,1.362500000000000000e+02,3.796875000000000000e+01,2.832031250000000000e-01,2.250000000000000056e-01,3.882812500000000000e+00,7.809954872015709149e-02
7.100000000000000000e+01,5.156250000000000000e+01,1.096875000000000000e+02,1.176562500000000000e+02,6.187500000000000000e+01,2.039062500000000111e-01,3.726562500000000222e-01,5.335937500000000000e+00,4.189036981635059498e-02
7.300000000000000000e+01,1.187500000000000000e+02,4.328125000000000000e+01,1.229687500000000000e+02,7.250000000000000000e+01,2.804687499999999889e-01,1.722656250000000056e-01,4.117187500000000000e+00,2.420293090380887940e-02
7.900000000000000000e+01,1.187500000000000000e+02,5.125000000000000000e+01,1.189843750000000000e+02,5.789062500000000000e+01,3.378906250000000000e-01,1.687500000000000111e-01,4.046875000000000000e+00,1.966206018722653145e-02
7.000000000000000000e+00,1.031250000000000000e+02,4.859375000000000000e+01,1.282812500000000000e+02,7.250000000000000000e+01,1.710937499999999889e-01,1.898437500000000056e-01,4.515625000000000000e+00,2.988704018351629257e-02
8.300000000000000000e+01,1.031250000000000000e+02,6.718750000000000000e+01,1.163281250000000000e+02,4.992187500000000000e+01,3.324218749999999778e-01,2.250000000000000056e-01,4.656250000000000000e+00,4.346678054204491243e-02
8.900000000000000000e+01,1.031250000000000000e+02,4.328125000000000000e+01,1.335937500000000000e+02,5.789062500000000000e+01,1.054687500000000000e-01,1.898437500000000056e-01,4.351562500000000000e+00,2.277043552615778954e-02
8.000000000000000000e+00,1.171875000000000000e+02,5.257812500000000000e+01,1.203125000000000000e+02,4.328125000000000000e+01,3.624999999999999334e-01,1.687500000000000111e-01,4.210937500000000000e+00,2.417932662882717187e-02
9.700000000000000000e+01,7.500000000000000000e+01,6.984375000000000000e+01,1.349218750000000000e+02,4.859375000000000000e+01,1.136718750000000056e-01,2.636718750000000000e-01,4.421875000000000000e+00,2.670075622165882581e-02
9.000000000000000000e+00,9.687500000000000000e+01,5.921875000000000000e+01,1.242968750000000000e+02,6.054687500000000000e+01,1.984374999999999889e-01,2.250000000000000056e-01,4.398437500000000000e+00,3.009083653884671999e-02
